HDR,ROLLING SYSTEM DEMAND
VD,20211003000000,21492
VD,20211003000500,21909
VD,20211003001000,22045
VD,20211003001500,22213
VD,20211003002000,22302
VD,20211003002500,22466
VD,20211003003000,22504
VD,20211003003500,22520
VD,20211003004000,22549
VD,20211003004500,22528
VD,20211003005000,22474
VD,20211003005500,22377
VD,20211003010000,22269
VD,20211003010500,22189
VD,20211003011000,22019
VD,20211003011500,21853
VD,20211003012000,21862
VD,20211003012500,21774
VD,20211003013000,21697
VD,20211003013500,21607
VD,20211003014000,21543
VD,20211003014500,21412
VD,20211003015000,21315
VD,20211003015500,21275
VD,20211003020000,21232
VD,20211003020500,21315
VD,20211003021000,21256
VD,20211003021500,21133
VD,20211003022000,21038
VD,20211003022500,20932
VD,20211003023000,20827
VD,20211003023500,20741
VD,20211003024000,20697
VD,20211003024500,20744
VD,20211003025000,20706
VD,20211003025500,20625
VD,20211003030000,20567
VD,20211003030500,20435
VD,20211003031000,20294
VD,20211003031500,20437
VD,20211003032000,20456
VD,20211003032500,20399
VD,20211003033000,20305
VD,20211003033500,20301
VD,20211003034000,20265
VD,20211003034500,20210
VD,20211003035000,20350
VD,20211003035500,20383
VD,20211003040000,20378
VD,20211003040500,20350
VD,20211003041000,20303
VD,20211003041500,20264
VD,20211003042000,20303
VD,20211003042500,20443
VD,20211003043000,20482
VD,20211003043500,20510
VD,20211003044000,20594
VD,20211003044500,20716
VD,20211003045000,20757
VD,20211003045500,20827
VD,20211003050000,20904
VD,20211003050500,20954
VD,20211003051000,21016
VD,20211003051500,21011
VD,20211003052000,21003
VD,20211003052500,21027
VD,20211003053000,21034
VD,20211003053500,21121
VD,20211003054000,21144
VD,20211003054500,21152
VD,20211003055000,21182
VD,20211003055500,21218
VD,20211003060000,21187
VD,20211003060500,21442
VD,20211003061000,21509
VD,20211003061500,21518
VD,20211003062000,21807
VD,20211003062500,21890
VD,20211003063000,21976
VD,20211003063500,22119
VD,20211003064000,22292
VD,20211003064500,22532
VD,20211003065000,22790
VD,20211003065500,22892
VD,20211003070000,22765
VD,20211003070500,23096
VD,20211003071000,23468
VD,20211003071500,23701
VD,20211003072000,23854
VD,20211003072500,23802
VD,20211003073000,23671
VD,20211003073500,23669
VD,20211003074000,23777
VD,20211003074500,23863
VD,20211003075000,24130
VD,20211003075500,24206
VD,20211003080000,24295
VD,20211003080500,24399
VD,20211003081000,24507
VD,20211003081500,24771
VD,20211003082000,24897
VD,20211003082500,24933
VD,20211003083000,24974
VD,20211003083500,25010
VD,20211003084000,24992
VD,20211003084500,24867
VD,20211003085000,24856
VD,20211003085500,24928
VD,20211003090000,24990
VD,20211003090500,25284
VD,20211003091000,25193
VD,20211003091500,25218
VD,20211003092000,25244
VD,20211003092500,25081
VD,20211003093000,24904
VD,20211003093500,24757
VD,20211003094000,24654
VD,20211003094500,24484
VD,20211003095000,24408
VD,20211003095500,24373
VD,20211003100000,24388
VD,20211003100500,24256
VD,20211003101000,24217
VD,20211003101500,24178
VD,20211003102000,24080
VD,20211003102500,24029
VD,20211003103000,23966
VD,20211003103500,23956
VD,20211003104000,23811
VD,20211003104500,23748
VD,20211003105000,23856
VD,20211003105500,23967
VD,20211003110000,23935
VD,20211003110500,23968
VD,20211003111000,24167
VD,20211003111500,24154
VD,20211003112000,24198
VD,20211003112500,24095
VD,20211003113000,24066
VD,20211003113500,24066
VD,20211003114000,24082
