HDR,ROLLING SYSTEM DEMAND
VD,20211009000000,22756
VD,20211009000500,22804
VD,20211009001000,22784
VD,20211009001500,22772
VD,20211009002000,22850
VD,20211009002500,22807
VD,20211009003000,22810
VD,20211009003500,22909
VD,20211009004000,22933
VD,20211009004500,22975
VD,20211009005000,22841
VD,20211009005500,22706
VD,20211009010000,22532
VD,20211009010500,22468
VD,20211009011000,22497
VD,20211009011500,22488
VD,20211009012000,22459
VD,20211009012500,22383
VD,20211009013000,22270
VD,20211009013500,22166
VD,20211009014000,22044
VD,20211009014500,21972
VD,20211009015000,21893
VD,20211009015500,21827
VD,20211009020000,21704
VD,20211009020500,21689
VD,20211009021000,21703
VD,20211009021500,21602
VD,20211009022000,21499
VD,20211009022500,21437
VD,20211009023000,21420
VD,20211009023500,21458
VD,20211009024000,21543
VD,20211009024500,21593
VD,20211009025000,21664
VD,20211009025500,21638
VD,20211009030000,21614
VD,20211009030500,21682
VD,20211009031000,21691
VD,20211009031500,21648
VD,20211009032000,21442
VD,20211009032500,21392
VD,20211009033000,21228
VD,20211009033500,21237
VD,20211009034000,21157
VD,20211009034500,21127
VD,20211009035000,21148
VD,20211009035500,21169
VD,20211009040000,21220
VD,20211009040500,21300
VD,20211009041000,21253
VD,20211009041500,21156
VD,20211009042000,21144
VD,20211009042500,21142
VD,20211009043000,21187
VD,20211009043500,21332
VD,20211009044000,21437
VD,20211009044500,21570
VD,20211009045000,21647
VD,20211009045500,21675
VD,20211009050000,21692
VD,20211009050500,21774
VD,20211009051000,21973
VD,20211009051500,22158
VD,20211009052000,22350
VD,20211009052500,22553
VD,20211009053000,22687
VD,20211009053500,22917
VD,20211009054000,23165
VD,20211009054500,23360
VD,20211009055000,23521
VD,20211009055500,23755
VD,20211009060000,23947
VD,20211009060500,24236
VD,20211009061000,24553
VD,20211009061500,24772
VD,20211009062000,24856
VD,20211009062500,25041
VD,20211009063000,25158
VD,20211009063500,25490
VD,20211009064000,25735
VD,20211009064500,25889
VD,20211009065000,26053
VD,20211009065500,26254
VD,20211009070000,26481
VD,20211009070500,26866
VD,20211009071000,27138
VD,20211009071500,27352
VD,20211009072000,27595
VD,20211009072500,27773
VD,20211009073000,27899
VD,20211009073500,27914
VD,20211009074000,27886
VD,20211009074500,28048
VD,20211009075000,28187
VD,20211009075500,28272
VD,20211009080000,28320
VD,20211009080500,28424
VD,20211009081000,28489
VD,20211009081500,28486
VD,20211009082000,28551
VD,20211009082500,28545
VD,20211009083000,28536
VD,20211009083500,28522
VD,20211009084000,28484
VD,20211009084500,28459
VD,20211009085000,28413
VD,20211009085500,28303
VD,20211009090000,28204
VD,20211009090500,28169
VD,20211009091000,28179
VD,20211009091500,28108
VD,20211009092000,28055
VD,20211009092500,28048
VD,20211009093000,27986
VD,20211009093500,27874
VD,20211009094000,27791
VD,20211009094500,27890
VD,20211009095000,27763
VD,20211009095500,27665
VD,20211009100000,27557
VD,20211009100500,27317
VD,20211009101000,27273
VD,20211009101500,27297
VD,20211009102000,27332
VD,20211009102500,27253
VD,20211009103000,27156
VD,20211009103500,27161
VD,20211009104000,27099
VD,20211009104500,27075
VD,20211009105000,27073
VD,20211009105500,27040
VD,20211009110000,27051
VD,20211009110500,27188
VD,20211009111000,27250
VD,20211009111500,27274
VD,20211009112000,27293
VD,20211009112500,27329
VD,20211009113000,27253
VD,20211009113500,27245
VD,20211009114000,27169
VD,20211009114500,27108
VD,20211009115000,27032
VD,20211009115500,26940
VD,20211009120000,26861
VD,20211009120500,26918
VD,20211009121000,26971
VD,20211009121500,26858
VD,20211009122000,26867
VD,20211009122500,26807
VD,20211009123000,26685
VD,20211009123500,26649
VD,20211009124000,26537
VD,20211009124500,26435
VD,20211009125000,26272
